Reference,Index,Substrate,Power_1,Power_2,Power_3,Temperature,Base pressure,Gas,Working pressure,Ni,Mo,Co,Fe,Cu,Al,Pt,NiO,V,W,N,Pd,S,Cr,Ni(OH)2,Ag,B,C,Zn,Zr,Ru,Nb,Electrolyte,Concentration,IR compensation,Overpotential at 10mA/cm2,Tafel slope
1,1,C,NA,NA,NA,25,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-80,95
1,2,C,200,200,200,25,1.00E-07,Ar,3.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-475,128
1,6,C,200,100,0,25,1.00E-07,Ar,3.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-260,101
1,8,C,200,200,200,25,1.00E-07,Ar,3.00E-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-232,94
1,9,C,200,200,200,800,1.00E-07,Ar,3.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-250,105
1,13,C,200,100,0,800,1.00E-07,Ar,3.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-195,79
1,15,C,200,200,200,800,1.00E-07,Ar,3.00E-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-271,80
2,16,Stainless steel 304,100,100,100,25,NA,Ar,7.50E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-261,107
2,18,Stainless steel 304,50,120,0,25,NA,Ar,7.50E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-58,91
3,24,Ni,100,200,0,200,7.50E-07,Ar,3.23E-03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-165,200.54
4,28,C,NA,NA,25,25,1.00E-07,Ar,3.00E-03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-305,93
4,32,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-292,126
4,33,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-350,134
4,35,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-324,132
4,36,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaOH,1,1,-283,128
4,37,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-305,126
4,38,C,300,20,18,800,1.00E-07,Ar,3.00E-03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-188,80
4,39,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-227,84
4,40,C,NA,NA,25,800,1.00E-07,Ar,3.00E-03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-241,70
4,41,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-248,78
4,42,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaOH,1,1,-253,81
4,43,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-277,83
4,50,C,300,20,45,25,1.00E-07,Ar,3.00E-03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-303,99
4,52,C,300,0,18,25,1.00E-07,Ar,3.00E-03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-501,139
4,54,C,300,12,30,800,1.00E-07,Ar,3.00E-03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-181,76
4,55,C,300,0,18,800,1.00E-07,Ar,3.00E-03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-257,98
5,56,Ni,70,70,70,300,1.00E-06,Ar,9.50E-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-265,161
5,58,Ni,70,70,70,300,1.00E-06,Ar,9.50E-03,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-139,73
6,60,C,100,100,100,25,3.75E-06,Ar,3.75E-03,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-60.3,116.3
6,61,C,100,100,100,25,3.75E-06,Ar,3.75E-03,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-116.7,126.2
6,62,C,100,100,100,25,3.75E-06,Ar,3.75E-03,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-63.1,107.5
6,63,C,100,100,100,25,3.75E-06,Ar,3.75E-03,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-47.5,128.5
6,64,C,100,100,100,25,3.75E-06,Ar,3.75E-03,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-67.2,112.6
6,65,C,100,100,100,25,3.75E-06,Ar,3.75E-03,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-29.7,47.2
7,66,Ni,80,80,80,25,1.50E-06,Ar,3.75E-03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,KOH,1,,-56,49
7,67,C,80,80,80,25,1.50E-06,Ar,3.75E-03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,KOH,1,,-61,52.3
8,68,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-317,123
8,71,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-98,105
9,77,Cu,90,90,90,25,6.00E-07,Ar,6.00E-03,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-22,80.86
9,83,Ni,90,90,90,25,6.00E-07,Ar,6.00E-03,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-22,87.02
10,85,Ni,50,50,50,25,NA,Ar,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,57.81
10,86,Ni,50,50,50,25,NA,Ar,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,139.34
10,88,Ni,50,50,50,25,NA,Ar,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-23,44.83
11,89,C,190,190,190,25,4.50E-06,Ar,1.50E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-187,146
11,91,C,190,190,190,25,4.50E-06,Ar+N2,1.50E-02,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-37,59
12,92,FTO,NA,NA,NA,25,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-57,28
12,93,FTO,150,150,150,25,NA,Ar+N2,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-89,38
13,94,C,70,70,70,300,1.00E-06,Ar,9.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,KOH,1,1,-250,129
13,95,C,70,70,70,300,1.00E-06,Ar,9.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,KOH,1,1,-197,99
13,96,C,70,70,70,300,1.00E-06,Ar,9.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,KOH,1,1,-160,96
14,97,Ni,80,80,80,25,3.00E-06,Ar,4.50E-03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,KOH,1,,-174,268
14,98,Ni,10,80,0,25,3.00E-06,Ar,4.50E-03,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,KOH,1,,-102,93
15,101,Ni,50,50,50,200,NA,Ar,9.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-208,
15,104,Ni,50,50,50,200,NA,Ar,9.00E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-39,66
15,106,Ni,50,50,50,200,NA,Ar,9.00E-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-108,
16,107,Ni,NA,NA,NA,25,3.00E-05,Ar,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,0,-91,115
16,108,Ni,NA,NA,NA,25,3.00E-05,Ar,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,0,-71,104
17,110,C,30,200,0,25,7.50E-07,Ar,6.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,KOH,1,,-117,79
18,112,Ni,200,200,200,25,3.75E-07,Ar,2.25E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-166,135
18,113,Ni,200,100,0,25,3.75E-07,Ar,2.25E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,KOH,1,1,-92,66
19,121,Ni,50,50,50,200,NA,Ar,9.00E-03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-53,68.08
20,123,C,250,250,250,25,4.50E-06,Ar+N2,1.50E-02,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-130,74
20,124,C,150,150,150,25,4.50E-06,Ar+N2,1.50E-02,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-399,131
