Reference,Index,Substrate,Power_1,Power_2,Power_3,Temperature,Base pressure,Gas,Working pressure,Ni,Mo,Co,Fe,Cu,Al,Pt,NiO,V,W,N,Pd,S,Cr,Ni(OH)2,Ag,C,Zr,Ru,Nb,Electrolyte,Concentration,IR compensation,Overpotential at 10mA/cm2,Tafel slope
1,1,C,NA,NA,NA,25,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-80,95
1,2,C,200,200,200,25,1.00E-07,Ar,3.00E-03,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-475,128
1,3,C,200,15,0,25,1.00E-07,Ar,3.00E-03,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-322,90
1,4,C,200,30,0,25,1.00E-07,Ar,3.00E-03,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-289,100
1,5,C,200,50,0,25,1.00E-07,Ar,3.00E-03,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-280,102
1,6,C,200,100,0,25,1.00E-07,Ar,3.00E-03,37,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-260,101
1,7,C,80,200,0,25,1.00E-07,Ar,3.00E-03,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-271,82
1,8,C,200,200,200,25,1.00E-07,Ar,3.00E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-232,94
1,9,C,200,200,200,800,1.00E-07,Ar,3.00E-03,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-250,105
1,10,C,200,15,0,800,1.00E-07,Ar,3.00E-03,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-217,77
1,11,C,200,30,0,800,1.00E-07,Ar,3.00E-03,14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-214,84
1,12,C,200,50,0,800,1.00E-07,Ar,3.00E-03,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-209,78
1,13,C,200,100,0,800,1.00E-07,Ar,3.00E-03,37,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-195,79
1,14,C,80,200,0,800,1.00E-07,Ar,3.00E-03,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-231,93
1,15,C,200,200,200,800,1.00E-07,Ar,3.00E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-271,80
2,16,Stainless steel 304,100,100,100,25,NA,Ar,7.50E-03,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-261,107
2,17,Stainless steel 304,50,120,0,25,NA,Ar,7.50E-03,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-62,99
2,18,Stainless steel 304,50,120,0,25,NA,Ar,7.50E-03,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-58,91
2,19,Stainless steel 304,50,120,0,25,NA,Ar,7.50E-03,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-65,100
2,20,Stainless steel 304,50,120,0,25,NA,Ar,7.50E-03,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-108,98
2,21,Stainless steel 304,50,120,0,25,NA,Ar,7.50E-03,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-165,143
2,22,Stainless steel 304,100,100,100,25,NA,Ar,7.50E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-90,123
3,23,Ni,100,100,0,200,7.50E-07,Ar,3.23E-03,31.5,0,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,192.79
3,24,Ni,100,200,0,200,7.50E-07,Ar,3.23E-03,41.3,0,58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-165,200.54
3,25,Ni,50,200,0,200,7.50E-07,Ar,3.23E-03,21.8,0,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,104.59
4,26,C,300,20,18,25,1.00E-07,Ar,3.00E-03,10,80,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-363,109
4,27,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,10,80,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-465,159
4,28,C,NA,NA,25,25,1.00E-07,Ar,3.00E-03,10,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-305,93
4,29,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,10,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-426,139
4,30,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,10,80,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,NaOH,1,1,-315,90
4,31,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,10,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-385,95
4,32,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,80,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-292,126
4,33,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,80,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-350,134
4,34,C,NA,NA,25,25,1.00E-07,Ar,3.00E-03,80,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-278,74
4,35,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,80,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-324,132
4,36,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,80,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,NaOH,1,1,-283,128
4,37,C,NA,NA,NA,25,1.00E-07,Ar,3.00E-03,80,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-305,126
4,38,C,300,20,18,800,1.00E-07,Ar,3.00E-03,10,80,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-188,80
4,39,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,10,80,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-227,84
4,40,C,NA,NA,25,800,1.00E-07,Ar,3.00E-03,10,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-241,70
4,41,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,10,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-248,78
4,42,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,10,80,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,NaOH,1,1,-253,81
4,43,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,10,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-277,83
4,44,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,80,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-269,73
4,45,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,80,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-270,73
4,46,C,NA,NA,25,800,1.00E-07,Ar,3.00E-03,80,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-275,77
4,47,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,80,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-279,85
4,48,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,80,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,NaOH,1,1,-280,95
4,49,C,NA,NA,NA,800,1.00E-07,Ar,3.00E-03,80,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-295,97
4,50,C,300,20,45,25,1.00E-07,Ar,3.00E-03,10,70,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-303,99
4,51,C,300,12,30,25,1.00E-07,Ar,3.00E-03,5,80,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-413,137
4,52,C,300,0,18,25,1.00E-07,Ar,3.00E-03,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-501,139
4,53,C,300,20,45,800,1.00E-07,Ar,3.00E-03,10,70,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-221,85
4,54,C,300,12,30,800,1.00E-07,Ar,3.00E-03,5,80,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-181,76
4,55,C,300,0,18,800,1.00E-07,Ar,3.00E-03,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-257,98
5,56,Ni,70,70,70,300,1.00E-06,Ar,9.50E-03,59.5,0,0,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-265,161
5,57,Ni,70,70,70,300,1.00E-06,Ar,9.50E-03,49.5,7.4,0,43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-185,116
5,58,Ni,70,70,70,300,1.00E-06,Ar,9.50E-03,46.5,12.6,0,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-139,73
5,59,Ni,70,70,70,300,1.00E-06,Ar,9.50E-03,45.7,21.9,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-194,136
6,60,C,100,100,100,25,3.75E-06,Ar,3.75E-03,29.6,0,34.1,0,28.3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,KOH,1,1,-60.3,116.3
6,61,C,100,100,100,25,3.75E-06,Ar,3.75E-03,28.2,0,25.3,23.7,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-116.7,126.2
6,62,C,100,100,100,25,3.75E-06,Ar,3.75E-03,0,0,31.5,27.7,34.7,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,KOH,1,1,-63.1,107.5
6,63,C,100,100,100,25,3.75E-06,Ar,3.75E-03,30.3,0,0,29.3,33.9,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,KOH,1,1,-47.5,128.5
6,64,C,100,100,100,25,3.75E-06,Ar,3.75E-03,31.1,0,32.8,28.9,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,KOH,1,1,-67.2,112.6
